#{"t_start": 1624582655.764554, "env_id": null}
r,l,t
4.188183,11,409.431292
1.346818,5,409.96171
1.35835,5,410.47288
2.961392,10,411.306394
1.80364,5,411.807411
2.077357,7,412.440013
1.787246,5,412.906063
3.441107,7,413.505621
2.375301,7,414.103382
2.681673,7,414.706826
2.695556,9,415.438239
3.699114,8,416.106187
2.22503,7,416.745334
2.335516,6,417.277439
3.272147,11,418.186312
1.625446,6,418.729455
3.262314,9,419.520806
2.049169,6,420.036896
2.97314,6,420.545644
2.936679,8,421.23893
1.158674,3,421.520395
6.841972,10,422.362062
2.458657,7,422.98592
3.922879,10,423.803965
4.003997,10,424.639487
4.279576,12,425.56212
3.387882,9,426.339021
2.002073,8,427.039376
5.1455,10,427.904471
1.973207,6,428.453655
1.871491,5,428.971708
4.326934,10,429.806324
4.02398,8,430.453366
3.247823,9,431.185748
3.069195,8,431.905142
4.035746,9,432.64348
1.649487,6,433.170463
1.788163,6,433.70568
1.756473,6,434.236859
3.019179,7,434.820993
5.914445,12,435.889961
1.737675,7,436.489148
3.279751,6,437.040735
1.312881,4,437.472517
5.211588,12,438.437943
1.987827,7,439.02653
1.637546,6,439.577174
1.710426,7,440.21903
2.905011,8,440.843657
1.713106,6,441.369417
1.225607,4,441.770035
2.037952,5,442.185891
1.628606,6,442.699116
4.126863,10,443.552606
2.449107,7,444.104928
4.208781,10,444.902219
1.39855,4,445.282387
7.432246,13,446.303074
2.846016,7,446.904604
5.069142,9,447.626253
2.819003,7,448.318348
3.204903,8,448.986289
2.153775,6,449.505171
2.546333,7,450.094871
1.620903,6,450.602591
5.849295,13,451.659102
4.615909,12,452.551774
2.304802,5,453.042005
1.323196,5,453.502981
4.46856,8,454.169852
3.507239,7,454.787212
6.998867,13,455.821325
1.332174,4,456.192573
4.178634,10,457.031917
5.013911,12,458.035455
3.281758,8,458.738728
4.094995,9,459.539079
1.631039,6,460.060361
1.621164,6,460.634747
5.985531,11,461.502341
2.51868,6,462.051749
2.640294,8,462.710467
1.710893,7,463.354604
1.912679,7,463.93767
1.527869,5,464.381555
1.652419,5,464.876304
5.271138,9,465.703274
8.629342,14,466.804654
3.954321,9,467.601507
2.543497,9,468.387235
2.938739,8,469.071946
3.091471,8,469.772405
1.732409,6,470.327744
1.977939,6,470.854375
7.883316,12,471.803821
2.828318,8,472.487454
4.104426,10,473.320961
6.971617,12,474.324862
3.878381,10,475.135735
1.676404,7,475.771768
3.005036,8,476.4852
1.289748,4,476.844072
2.86474,8,477.585224
12.145759,23,479.44103
1.613611,5,479.944477
2.61809,7,480.636551
1.895992,7,481.218824
9.625915,18,482.69371
4.028181,9,483.451945
2.543353,6,484.002082
1.250318,4,484.452282
2.548383,6,484.983643
1.708403,6,485.550713
1.272703,4,485.951576
1.470537,5,486.37351
1.577119,5,486.867792
4.08067,9,487.703255
3.08631,8,488.386574
4.844795,11,489.237942
3.083368,8,489.918608
3.588094,10,490.750082
1.482792,5,491.272332
1.678422,6,491.820656
2.390987,6,492.375249
5.947565,11,493.288171
2.33806,6,493.868394
2.763449,7,494.480317
1.577117,6,495.004278
2.641335,8,495.668399
2.262783,7,496.269629
4.183617,11,497.168023
1.66067,6,497.692606
2.22816,6,498.226196
2.001906,7,498.853051
5.853049,14,499.987882
1.918019,6,500.525635
4.714305,10,501.408257
3.793876,10,502.266888
4.039406,8,503.034918
1.628432,6,503.600313
5.553333,10,504.471439
6.681346,13,505.568333
3.264712,7,506.218561
2.227107,7,506.85305
4.819132,10,507.669025
2.623473,6,508.185911
4.694755,10,509.051268
1.927499,6,509.589491
2.29045,8,510.270005
2.345243,8,510.95119
2.856338,7,511.568005
6.065495,11,512.485003
1.848768,8,513.203833
2.1578,7,513.819301
2.498719,7,514.384717
3.19136,6,514.917768
5.206812,12,515.923387
6.590883,12,516.986465
3.810482,10,517.852506
7.420229,12,518.802609
3.846031,7,519.40361
1.922132,6,519.932576
3.455625,8,520.619205
4.097689,11,521.498645
1.736851,5,522.017085
6.042674,11,522.90747
1.239023,3,523.250687
3.058477,8,523.920511
9.967596,16,525.216304
4.602575,12,526.250738
6.897175,13,527.276237
2.428514,6,527.850185
3.881529,10,528.689595
3.100333,6,529.183276
3.867316,8,529.884396
3.437325,7,530.483983
2.076378,7,531.134063
7.678778,13,532.218439
3.067557,9,533.002101
3.402575,7,533.615319
5.209042,10,534.45822
1.336913,4,534.883337
4.338432,10,535.749949
3.989624,8,536.433657
1.920564,7,537.051385
4.479936,11,537.968916
3.049971,8,538.6671
2.419943,6,539.182948
1.435275,5,539.621743
3.467783,8,540.300138
1.561051,6,540.819308
3.383659,12,541.86773
5.045265,12,542.868124
3.977972,10,543.678449
2.679971,7,544.305933
3.121102,8,544.964713
6.97285,14,546.17358
2.072381,7,546.785198
5.326469,11,547.717159
3.629628,8,548.406549
1.843525,5,548.910051
1.503324,6,549.500806
2.704204,7,550.124649
60.506162,102,559.120642
3.437741,9,559.967261
7.60327,14,561.19959
7.19595,13,562.314657
2.629162,7,562.969771
1.841713,7,563.600708
1.370572,4,563.997258
3.34748,9,564.798022
3.548925,9,565.583128
2.659673,9,566.352379
2.957625,8,567.103469
3.681945,8,567.800065
2.134714,6,568.417822
6.192549,14,569.631534
2.76637,8,570.265289
3.990082,7,570.822148
2.02235,6,571.368206
2.281571,7,571.965071
3.435711,8,572.634031
14.373721,22,574.503535
3.38414,9,575.323212
2.026644,7,575.963702
2.716969,7,576.497448
1.746005,6,577.031138
4.959289,12,578.014174
6.168042,14,579.102271
5.76197,11,580.048025
2.692799,8,580.75256
1.870356,5,581.204395
1.890346,6,581.748496
6.803716,13,582.752504
1.707121,6,583.327942
3.649859,11,584.230671
2.555382,8,584.914321
2.602412,7,585.496955
4.583322,11,586.365054
3.448562,10,587.215538
2.527416,7,587.832981
1.609039,6,588.403626
6.353929,12,589.433144
1.464986,5,589.896303
2.755789,9,590.600559
3.559968,10,591.465895
4.466743,11,592.331719
5.03017,11,593.246475
1.399841,5,593.732605
4.149792,11,594.613919
4.488733,12,595.553645
7.332911,13,596.56628
1.365512,4,597.013868
1.546337,5,597.466038
3.375213,7,598.079584
1.376029,4,598.465221
8.639926,18,599.837213
2.56852,7,600.569654
1.254154,4,600.964178
1.446987,5,601.379561
2.935716,7,602.000125
4.308568,10,602.878905
3.782465,9,603.679681
3.009564,7,604.275786
4.029787,10,605.083052
3.390303,8,605.752471
5.070974,10,606.564422
1.214709,4,606.947665
5.593174,13,607.988219
6.989086,14,609.045288
2.010407,8,609.732482
6.744605,14,610.832525
6.458551,13,611.953614
1.668041,5,612.415403
1.78919,7,612.980008
3.10476,9,613.735898
3.359423,8,614.43984
3.434562,10,615.339326
2.609863,7,615.946972
6.804542,14,617.146097
3.708835,8,617.80454
5.011763,10,618.57992
3.31469,10,619.347245
1.701922,6,619.829416
3.773097,11,620.675695
6.061332,15,621.968114
2.77882,7,622.598136
13.010446,22,624.355127
7.054701,13,625.435881
2.858962,9,626.174784
3.419166,9,626.962717
5.548673,12,627.965996
1.595508,6,628.547167
3.672901,9,629.330377
3.018196,8,630.078902
2.250745,6,630.630566
2.124955,7,631.261964
1.390816,5,631.702647
1.719762,7,632.319533
1.694225,6,632.896916
4.308047,10,633.763225
4.86957,10,634.611976
4.285618,10,635.447395
7.12882,13,636.496598
4.187642,6,637.03117
1.923894,6,637.570328
3.239611,10,638.463371
7.154817,12,639.450752
2.256418,7,640.096977
2.841234,7,640.697435
1.240856,4,641.056654
2.628993,6,641.569352
3.628011,8,642.29687
3.06846,7,642.897409
3.671779,7,643.49504
3.538884,8,644.162566
2.58159,7,644.76357
2.046557,6,645.304097
2.197427,9,646.027937
1.623975,6,646.553647
2.213891,7,647.161322
1.792005,6,647.661418
4.727071,10,648.515792
2.500947,7,649.160849
3.39026,8,649.846475
2.126261,6,650.445522
2.208435,5,650.911673
2.876924,7,651.480576
6.48904,11,652.486611
2.841963,7,653.110997
9.288199,17,654.445004
3.350861,10,655.280581
2.4447,7,655.862084
4.633775,11,656.787369
2.591011,8,657.462889
4.338021,8,658.211655
2.314347,8,658.852971
3.262974,9,659.644119
4.024685,15,660.918561
1.61971,6,661.477191
7.442138,14,662.661733
4.757135,11,663.547637
5.25673,13,664.652351
2.694474,8,665.377878
5.563464,11,666.31294
2.369539,8,666.998766
4.453005,12,667.995928
3.937272,9,668.779432
4.512771,9,669.561752
3.489523,10,670.417252
2.706172,7,671.010101
1.811185,6,671.551818
3.493912,10,672.399747
1.472488,5,672.896284
4.30744,9,673.678688
5.314841,12,674.720268
4.045541,10,675.545671
3.095383,9,676.328789
3.485672,10,677.163336
4.236414,11,678.096649
4.48646,9,678.859638
3.895377,11,679.739892
5.879511,10,680.615846
2.747777,10,681.442374
1.482661,5,681.87901
7.541763,14,683.051057
3.337967,8,683.745608
2.933799,6,684.276158
3.122136,8,684.944049
2.679716,7,685.561587
3.779467,10,686.392558
3.200757,8,687.036721
1.386599,5,687.4957
7.20412,15,688.717054
1.486982,5,689.187695
1.74952,6,689.705788
2.31795,7,690.343395
8.367978,17,691.784311
6.689886,13,692.875762
4.813569,12,693.794458
5.373927,11,694.744152
1.666429,6,695.296157
3.121528,8,696.011689
6.077874,12,697.050503
8.285664,18,698.51573
2.463063,6,699.066316
3.418662,11,699.995491
3.135317,7,700.614056
1.635947,6,701.164425
1.796122,6,701.711453
1.443813,5,702.143324
3.59594,9,702.87523
3.608384,10,703.715654
2.880732,8,704.452574
2.803502,8,705.160384
1.956448,6,705.710345
8.851252,16,707.094907
1.920283,6,707.65041
1.956978,6,708.208921
1.253826,3,708.54405
1.474665,5,709.010457
2.334002,6,709.516488
9.948648,17,710.924383
2.167624,7,711.494321
2.497379,6,712.011591
3.652967,10,712.844983
1.526606,6,713.409635
2.444538,7,714.025708
2.716384,9,714.726882
2.696607,8,715.378846
1.214366,4,715.774941
1.267313,4,716.161186
5.835931,11,717.081321
2.59964,9,717.794948
10.423744,18,719.249201
1.681716,6,719.781436
4.423793,10,720.582645
3.326781,8,721.293919
2.516945,8,721.960873
3.14914,6,722.576891
2.434379,8,723.262849
2.108756,7,723.874655
3.607315,9,724.614239
3.909617,9,725.384421
68.483694,102,734.37492
3.019855,9,735.15976
1.748547,6,735.716851
2.212269,6,736.309189
3.233482,8,737.059353
2.090417,8,737.793415
1.808475,7,738.426001
1.980741,7,739.074573
2.169874,8,739.775608
1.346069,5,740.291317
5.626037,12,741.240256
2.483443,8,741.940033
2.019744,7,742.575436
4.662027,10,743.459213
2.786988,9,744.310113
2.795503,8,745.024917
3.380052,10,745.90812
5.289224,10,746.727094
5.569067,11,747.707835
6.22901,10,748.549009
1.420262,5,748.994058
1.510916,5,749.44416
2.582105,7,750.056286
7.766122,15,751.190739
2.212074,8,751.858475
1.569012,6,752.378455
8.201435,16,753.657574
2.609421,7,754.259015
2.868711,5,754.741955
3.598325,9,755.541692
2.422907,9,756.276231
2.905547,10,757.146217
3.542406,9,757.922954
1.962303,7,758.531381
2.842539,8,759.235675
2.064051,6,759.846422
4.252246,8,760.575228
3.52237,9,761.395823
2.326496,8,762.039594
5.104371,13,763.142489
2.809414,8,763.819746
5.931534,13,764.957158
3.207146,11,765.859342
1.645722,5,766.389767
1.846017,6,766.957459
1.817175,6,767.532731
11.232731,22,769.309606
3.317517,6,769.840246
3.195482,8,770.561543
4.119132,13,771.66683
12.00414,22,773.474102
3.439419,7,774.069047
7.545582,12,775.077433
9.844764,18,776.575598
9.793965,15,777.807517
2.732994,8,778.540965
3.343542,9,779.264623
3.169004,9,780.077629
7.157937,14,781.24184
3.760728,12,782.313483
1.948045,8,783.039211
2.480265,8,783.756734
7.894626,12,784.793652
3.583253,8,785.526245
3.809357,8,786.247456
1.872031,7,786.873012
4.831803,10,787.647642
11.718985,19,789.139714
2.258636,8,789.786763
8.997966,18,791.191586
1.81175,6,791.740239
3.619436,10,792.565613
6.134149,15,793.80692
3.024077,9,794.626606
5.321948,12,795.725648
3.195738,9,796.440114
3.184961,9,797.155807
2.454035,8,797.855839
2.345462,4,798.260042
4.775628,10,799.157489
2.57804,6,799.723831
5.288758,9,800.48142
6.007142,11,801.474482
7.66828,17,802.904671
4.013564,9,803.64075
6.120706,15,804.871396
5.528689,12,805.822135
2.991856,7,806.360748
1.708768,6,806.880173
5.346215,11,807.772207
11.477643,18,809.237293
7.608473,15,810.424425
3.461595,10,811.312385
1.326904,4,811.713765
1.496251,5,812.205833
2.038217,7,812.822676
4.572533,12,813.862468
6.349,13,814.991878
5.58341,10,815.81233
1.206814,3,816.104481
2.247148,6,816.623573
2.136842,8,817.256876
10.111983,20,818.854541
3.916729,10,819.70438
3.910816,12,820.621255
8.65211,17,821.888414
3.818365,8,822.538363
4.422971,11,823.421043
4.500423,11,824.215859
4.361239,8,824.903756
7.7557,16,826.302736
1.584623,6,826.810128
2.341915,7,827.405305
9.401324,23,829.266775
4.815122,10,830.086629
4.065318,9,830.79467
3.88389,11,831.720836
4.921125,11,832.610025
2.647125,8,833.276532
3.067661,9,834.055836
4.124038,9,834.904903
3.379411,9,835.692741
1.836641,6,836.205889
1.721255,6,836.754033
3.000466,6,837.277673
8.138627,15,838.454795
1.747473,5,838.941145
8.59362,17,840.292703
10.199077,17,841.669307
8.298465,17,843.056456
2.294575,5,843.529192
6.112631,12,844.5606
3.596476,9,845.381039
6.104543,14,846.537739
3.768134,9,847.270565
1.852098,6,847.769871
2.380193,5,848.255702
8.968212,17,849.636685
6.346258,13,850.721781
1.764808,6,851.288347
2.048675,5,851.752913
7.27144,15,852.943572
4.141883,9,853.703469
4.915905,11,854.652653
2.218552,6,855.205987
1.498191,5,855.718798
2.879244,8,856.411677
2.328696,8,857.088865
5.301578,13,858.189989
1.691904,6,858.736295
4.15191,8,859.486007
4.09955,8,860.190997
2.281919,7,860.805354
2.785882,6,861.373039
1.482067,5,861.811716
2.880739,8,862.534803
4.325363,11,863.522532
3.760768,9,864.339126
3.082487,8,865.021315
5.501197,11,865.968436
2.904541,9,866.738665
3.470332,8,867.425956
5.477076,11,868.302958
2.956631,9,869.101977
3.519555,10,869.95447
2.603527,7,870.57915
5.528284,12,871.537301
3.9124,9,872.235614
2.095207,6,872.726762
4.321442,9,873.487649
2.636206,6,874.020433
3.491901,11,874.87124
2.417787,7,875.522228
3.516567,10,876.302699
6.268761,13,877.420505
1.800541,6,878.007193
2.429648,8,878.721608
1.828669,6,879.321588
4.172057,12,880.277251
4.351376,11,881.130893
4.467089,9,881.956021
